                                     YARIM YUK(Fonksiyon Tablo 2) {   35 sn,    38 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     3 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     5 dk,     _48C,    10 dk,     5 dk,     0 dk,    18 dk,     8 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    30 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    32 lt,     0 sn,    10 sn,     3 dk,     _44C,     1 dk,     _50C,     _58C,     0 dk,    30 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    10 dk,    15 dk,     0 dk,     0 dk,     0 lt,     0 dk,    15 dk,    10 dk,    20 dk,     5 dk,    35 sn,     0 dk},
                                     YARIM YUK(Fonksiyon Tablo 2) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _26,      _28,      _32,      _00,      _28,      _24,      _00,      _24,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _26,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _28,      _26,      _24,      _28,      _26,      _00,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                                     YARIM YUK(Fonksiyon Tablo 2) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,   _upDw1,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw1,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _idle,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                            TABLET + YARIM YUK(Fonksiyon Tablo 6) {     187,      187,      185,      185,      185,      185,      185,      185,      181,      181,      181,      178,      178,      172,      172,      172,      172,      172,      172,      172,      172,      172,      171,      161,      156,      156,      146,      141,      141,      123,      115,      115,      114,      114,      113,      113,      113,      113,      113,      112,      112,      112,      106,      106,      106,      105,      105,      105,      105,      105,      105,      105,      105,      105,      105,      105,      105,      105,      104,      104,      104,      101,       98,       97,       95,       88,       88,       87,       87,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       86,       76,       61,       61,       61,       61,       61,       46,       36,       16,        1,        0},
                            TABLET + YARIM YUK(Fonksiyon Tablo 6) {   35 sn,    38 lt,     0 sn,     0 dk,     0 dk,     _00C,     0 sn,     4 dk,     0 sn,     _00C,     3 dk,     0 sn,     6 dk,     0 sn,     0 dk,     0 sn,     0 sn,     0 lt,     0 sn,    10 sn,     _00C,     1 dk,     _50C,     5 dk,     _48C,    10 dk,     5 dk,     0 dk,    18 dk,     8 dk,     0 dk,    60 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,    34 lt,     0 sn,     0 sn,     6 dk,     0 sn,    10 sn,    40 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 lt,     0 sn,     0 dk,     _00C,     0 dk,     0 dk,     0 sn,     0 sn,    32 lt,     0 sn,    10 sn,     3 dk,     _44C,     1 dk,     _50C,     _68C,     0 dk,    30 sn,     0 dk,    35 sn,     0 lt,     0 sn,     0 dk,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 sn,     0 lt,     0 dk,     0 dk,     0 lt,     0 dk,     0 lt,     0 sn,     0 sn,    10 dk,    15 dk,     0 dk,     0 dk,     0 lt,     0 dk,    15 dk,    10 dk,    20 dk,    15 dk,    35 sn,     0 dk},
                            TABLET + YARIM YUK(Fonksiyon Tablo 6) {     _00,      _00,      _00,      _00,      _00,      _00,      _00,      _28,      _00,      _00,      _28,      _00,      _28,      _00,      _00,      _00,      _00,      _00,      _00,      _22,      _00,      _28,      _28,      _28,      _26,      _28,      _32,      _00,      _28,      _24,      _00,      _24,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _26,      _00,      _22,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _24,      _28,      _26,      _24,      _28,      _26,      _00,      _24,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00,      _00},
                            TABLET + YARIM YUK(Fonksiyon Tablo 6) {   _idle,    _dwnn,    _idle,    _idle,    _idle,    _idle,    _idle,   _upDw1,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _dwnn,   _upDw2,    _uppp,   _upDw1,   _upDw1,    _dwnn,    _idle,   _upDw2,   _upDw1,    _idle,    _uppp,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,    _idle,   _upDw3,    _idle,    _runn,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _dwnn,    _idle,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,   _upDw1,    _idle,    _uppp,    _idle,    _runn,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle,    _idle},

                                       MFT(Fonksiyon Tablo 0-MFT) {     204,      204,      202,      202,      202,      202,      202,      202,      198,      198,      198,      195,      195,      189,      189,      189,      189,      189,      189,      189,      189,      189,      188,      178,      173,      173,      153,      148,      147,      129,      121,      121,      120,      120,      120,      120,      120,      115,      114,      113,      113,      113,      107,      107,      107,      107,      107,      107,      105,      104,      104,      104,      104,      104,      104,      104,      104,      104,      103,      103,      103,       94,       90,       89,       87,       85,       85,       84,       84,       83,       82,       82,       77,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       76,       66,       51,       51,       51,       51,       51,       36,       26,        6,        1,        0},
